id,reference_evidence,vela_evidence,assessment
PX0-001,PX-BUILD,V-PLAN,partial
PX0-002,PX-BUILD,V-PLAN,partial
PX0-003,PX-BUILD,V-NONE,missing
PX0-004,PX-BUILD,V-PLAN,partial
PX0-005,PX-BUILD,V-NONE,missing
PX0-006,PX-BUILD,V-PLAN,partial
PX0-007,PX-BUILD,V-NONE,missing
PX0-008,PX-BUILD,V-WORKFLOW,partial
PX0-009,PX-BUILD,V-WORKFLOW,implemented_bounded
PX0-010,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-011,PX-RUN,V-LIBRARY,implemented_bounded
PX0-012,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-013,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-014,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-015,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-016,PX-BUILD,V-WORKFLOW,implemented_bounded
PX0-017,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-018,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-019,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-020,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-021,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-022,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-023,PX-RUN,V-RUNTIME,partial
PX0-024,PX-RUN,V-WORKFLOW,partial
PX0-025,PX-RUN,V-WORKFLOW,implemented_bounded
PX0-026,PX-DAEMON,V-RUNTIME,implemented_bounded
PX0-027,PX-DAEMON,V-NONE,missing_platform
PX0-028,PX-DAEMON,V-RUNTIME,implemented_bounded
PX0-029,PX-DAEMON,V-RUNTIME,implemented_bounded
PX0-030,PX-DAEMON,V-RUNTIME,implemented_bounded
PX0-031,PX-DAEMON,V-RUNTIME,implemented_bounded
PX0-032,PX-DAEMON,V-RUNTIME,partial
PX0-033,PX-DAEMON,V-RUNTIME,partial
PX0-034,PX-DAEMON,V-RUNTIME,partial
PX0-035,PX-DAEMON,V-NONE,partial
PX0-036,PX-DAEMON,V-RUNTIME,partial
PX0-037,PX-TOOLS,V-CONNECTOR,partial
PX0-038,PX-TOOLS,V-CONNECTOR,partial
PX0-039,PX-TOOLS,V-CONNECTOR,partial
PX0-040,PX-TOOLS,V-CONNECTOR,partial
PX0-041,PX-TOOLS,V-CONNECTOR,partial
PX0-042,PX-TOOLS,V-CONNECTOR,partial
PX0-043,PX-TOOLS,V-CONNECTOR,partial
PX0-044,PX-TOOLS,V-RUNTIME,partial
PX0-045,PX-TOOLS,V-RUNTIME,partial
PX0-046,PX-TOOLS,V-APPROVAL,partial
PX0-047,PX-TOOLS,V-CONNECTOR,partial
PX0-048,PX-TOOLS,V-WORKFLOW,partial
PX0-049,PX-TOOLS,V-CONNECTOR,partial
PX0-050,PX-TOOLS,V-CONNECTOR,partial
PX0-051,PX-TOOLS,V-CONNECTOR,partial
PX0-052,PX-TOOLS,V-CONNECTOR,partial
PX0-053,PX-TOOLS,V-RUNTIME,partial
PX0-054,PX-RUN,V-RUNTIME,partial
PX0-055,PX-ASK,V-WORKFLOW,partial
PX0-056,PX-RUN,V-NONE,missing
PX0-057,PX-APPROVAL,V-APPROVAL,implemented_bounded
PX0-058,PX-APPROVAL,V-WORKFLOW,partial
PX0-059,PX-APPROVAL,V-APPROVAL,implemented_bounded
PX0-060,PX-APPROVAL,V-NONE,missing
PX0-061,PX-APPROVAL,V-APPROVAL,implemented_bounded
PX0-062,PX-APPROVAL,V-APPROVAL,partial
PX0-063,PX-APPROVAL,V-NONE,missing
PX0-064,PX-APPROVAL,V-RUNTIME,partial
PX0-065,PX-APPROVAL,V-WORKFLOW,implemented_bounded
PX0-066,PX-APPROVAL,V-NONE,missing
PX0-067,PX-BRAIN,V-LIBRARY,implemented_bounded
PX0-068,PX-BRAIN,V-LIBRARY,partial
PX0-069,PX-BRAIN,V-NONE,missing
PX0-070,PX-BRAIN,V-NONE,missing
PX0-071,PX-BRAIN,V-LIBRARY,partial
PX0-072,PX-BRAIN,V-NONE,missing
PX0-073,PX-BRAIN,V-LIBRARY,partial
PX0-074,PX-BRAIN,V-LIBRARY,implemented_bounded
PX0-075,PX-BRAIN,V-LIBRARY,implemented_bounded
PX0-076,PX-BRAIN,V-LIBRARY,implemented_bounded
PX0-077,PX-BRAIN,V-NONE,missing
PX0-078,PX-BRAIN,V-ASK,implemented_bounded
